gene_id,pilot_split,positive_strength,negative_strength,primary_difference,direction_agreement,primary_pairs,gc_sensitivity_difference,linked_strength,wrong_strength,target_specificity_difference
ENSG00000005249,development,1.7489908808571946,0.011342689848046624,1.737648191009148,0.5,4,1.7788093332402661,1.732786791701744,0.04679250163634325,1.6859942900654008
ENSG00000006042,development,0.2769209593181978,-0.11754218355692858,0.3944631428751264,1.0,2,0.3944631428751264,0.24538788304997272,0.14097160325743258,0.10441627979254015
ENSG00000013306,development,2.936955193990917,0.10697208851368245,2.8299831054772344,1.0,2,2.8299831054772344,2.924021944819736,2.95694455452374,-0.0329226097040038
ENSG00000059804,development,-0.0257895081456069,0.0308936101825487,-0.0566831183281557,0.0,1,-0.0566831183281557,-0.0257895081456069,-0.0194736469101961,-0.0063158612354108
ENSG00000067082,development,0.0062083578656028995,0.02228072778612495,-0.01607236992052205,0.5,2,-0.01607236992052205,0.0008462978456291494,0.00167396138942605,-0.0008276635437969495
ENSG00000072274,development,0.024410619934775953,0.0008711594756683001,0.02353946045910765,1.0,2,0.00545657878309045,0.031049615431644598,4.789753696896099,-4.758704081464455
ENSG00000073921,development,0.0373922576135612,-0.00314817582663538,0.040540433440196574,1.0,5,0.04261143969587462,0.046128685623929876,0.025848097075622477,0.020280588548307422
ENSG00000076662,confirmation,5.451032420828861,4.264055047488087,1.186977373340774,1.0,1,1.186977373340774,5.619082625561961,2.35213327851627,3.266949347045691
ENSG00000081026,development,4.294900593586575,3.876266057437803,0.4186345361487711,1.0,1,0.4186345361487711,4.294900593586575,-0.0040033870470859,4.298903980633661
ENSG00000081154,development,-0.0002821276982896,0.0704001600493136,-0.0706822877476032,0.0,1,-0.0137019906659325,0.0006209391891331,0.0006720311332149,-5.109194408170481e-05
ENSG00000089248,development,0.0007323989120422,-0.0001390967671657,0.0008714956792079,1.0,1,-3.379228059685602e-05,-0.0002746316578274,-0.0020505312187903,0.0017758995609629
ENSG00000090273,development,-0.0066076647029404,0.0053647984754565,-0.011972463178397,0.0,1,-0.0076362399523732,-0.0077769000708487,0.0085746325113351,-0.0163515325821839
ENSG00000100321,confirmation,0.0540063824568131,4.895257117853715,-4.841250735396902,1.0,1,-4.841250735396902,0.0220705291316116,0.1273959541551923,-0.1053254250235806
ENSG00000100393,development,-0.2997073544385396,0.2178615840241695,-0.5175689384627091,0.0,1,-0.5175689384627091,-0.2997073544385396,-0.0001800515734231,-0.2995273028651164
ENSG00000101236,confirmation,0.1214456245402937,-0.0089852756488166,0.1304309001891104,1.0,1,0.1304309001891104,0.1214456245402937,0.2954308346445669,-0.1739852101042731
ENSG00000105327,development,0.6070669683558774,-0.0683396104858795,0.6754065788417569,1.0,1,0.6754065788417569,0.6070669683558774,-6.158642570760424,6.765709539116301
ENSG00000106211,development,1.824013921964163,0.0021081462252006,1.821905775738962,1.0,1,1.821905775738962,2.0644893864617817,5.839932928410094,-3.775443541948312
ENSG00000109255,development,0.0223122699850932,0.0499281427362738,-0.0276158727511806,1.0,1,-0.0276158727511806,0.0223122699850932,-0.0154706127784591,0.0377828827635524
ENSG00000113742,development,0.36508263089088056,0.8178305145771092,-0.45274788368622865,0.75,4,-0.45607664644817364,0.3623533174918121,0.7748520099153264,-0.4124986924235143
ENSG00000115310,development,0.5949033244873139,0.0750362510375226,0.5198670734497912,1.0,1,0.5198670734497912,0.5949033244873139,-4.997350551800709,5.592253876288023
ENSG00000115525,development,0.3189651103301836,0.018566015491384,0.3003990948387995,1.0,1,0.3003990948387995,0.3402641096713035,6.160031348300879,-5.819767238629575
ENSG00000115738,development,2.450753759625424,0.007937011649109633,2.4428167479763143,1.0,3,2.4428167479763143,2.3799218076475235,6.770196029042855,-4.390274221395332
ENSG00000115875,confirmation,0.0054521321683367,0.0016773283901443,0.0037748037781923,1.0,1,0.0037748037781923,0.0054521321683367,0.012291581362124,-0.0068394491937873
ENSG00000116691,confirmation,-0.0026681533778383,0.0027367637157453,-0.0054049170935837,0.0,1,-0.0054049170935837,-0.003796949954907,4.352054963415483,-4.35585191337039
ENSG00000116815,development,7.098589251555061,0.0621727523929269,7.036416499162134,1.0,1,7.036416499162134,7.116791257444207,0.0238740531726278,7.092917204271579
ENSG00000116830,confirmation,5.196230585293142,5.117418482535603,0.0788121027575385,1.0,1,0.0788121027575385,5.206839490695867,0.8009130412381325,4.405926449457734
ENSG00000122779,development,4.2361645253218825,3.0346516826195096,1.201512842702373,1.0,1,1.201512842702373,4.29539373334144,0.5778404491414865,3.7175532841999535
ENSG00000124575,development,0.0136752553846726,0.0013867219578163,0.0122885334268563,1.0,1,0.0122885334268563,0.0053682653175464,-0.0019470404520642,0.0073153057696107
